id,country_id,name,status,type,code
1,1,Hà Nội,active,thanh-pho,01
2,1,Hà Giang,active,tinh,02
3,1,Cao Bằng,active,tinh,04
4,1,Bắc Kạn,active,tinh,06
5,1,Tuyên Quang,active,tinh,08
6,1,Lào Cai,active,tinh,10
7,1,Điện Biên,active,tinh,11
8,1,Lai Châu,active,tinh,12
9,1,Sơn La,active,tinh,14
10,1,Yên Bái,active,tinh,15
11,1,Hòa Bình,active,tinh,17
12,1,Thái Nguyên,active,tinh,19
13,1,Lạng Sơn,active,tinh,20
14,1,Quảng Ninh,active,tinh,22
15,1,Bắc Giang,active,tinh,24
16,1,Phú Thọ,active,tinh,25
17,1,Vĩnh Phúc,active,tinh,26
18,1,Bắc Ninh,active,tinh,27
19,1,Hải Dương,active,tinh,30
20,1,Hải Phòng,active,thanh-pho,31
21,1,Hưng Yên,active,tinh,33
22,1,Thái Bình,active,tinh,34
23,1,Hà Nam,active,tinh,35
24,1,Nam Định,active,tinh,36
25,1,Ninh Bình,active,tinh,37
26,1,Thanh Hóa,active,tinh,38
27,1,Nghệ An,active,tinh,40
28,1,Hà Tĩnh,active,tinh,42
29,1,Quảng Bình,active,tinh,44
30,1,Quảng Trị,active,tinh,45
31,1,Thừa Thiên Huế,active,tinh,46
32,1,Đà Nẵng,active,thanh-pho,48
33,1,Quảng Nam,active,tinh,49
34,1,Quảng Ngãi,active,tinh,51
35,1,Bình Định,active,tinh,52
36,1,Phú Yên,active,tinh,54
37,1,Khánh Hòa,active,tinh,56
38,1,Ninh Thuận,active,tinh,58
39,1,Bình Thuận,active,tinh,60
40,1,Kon Tum,active,tinh,62
41,1,Gia Lai,active,tinh,64
42,1,Đắk Lắk,active,tinh,66
43,1,Đắk Nông,active,tinh,67
44,1,Lâm Đồng,active,tinh,68
45,1,Bình Phước,active,tinh,70
46,1,Tây Ninh,active,tinh,72
47,1,Bình Dương,active,tinh,74
48,1,Đồng Nai,active,tinh,75
49,1,Bà Rịa - Vũng Tàu,active,tinh,77
50,1,Hồ Chí Minh,active,thanh-pho,79
51,1,Long An,active,tinh,80
52,1,Tiền Giang,active,tinh,82
53,1,Bến Tre,active,tinh,83
54,1,Trà Vinh,active,tinh,84
55,1,Vĩnh Long,active,tinh,86
56,1,Đồng Tháp,active,tinh,87
57,1,An Giang,active,tinh,89
58,1,Kiên Giang,active,tinh,91
59,1,Cần Thơ,active,thanh-pho,92
60,1,Hậu Giang,active,tinh,93
61,1,Sóc Trăng,active,tinh,94
62,1,Bạc Liêu,active,tinh,95
63,1,Cà Mau,active,tinh,96
