slug,title,description,timeline,tl_start_day,tl_end_day
chuan-bi-mang-thai,Chuẩn bị mang thai,,1
tam-ca-nguyet-1,Tam cá nguyệt 1,Mang thai tuần 0 - 14,2
tam-ca-nguyet-2,Tam cá nguyệt 2,Mang thai tuần 15 - 28,2
tam-ca-nguyet-3,Tam cá nguyệt 3,Mang thai tuần 28 - 40,2
so-sinh,Sơ sinh,Sau sinh 0 - 1 tháng,3
1-6-thang,1 - 6 tháng,Sau sinh 1 - 6 tháng,3
6-12-thang,6 - 12 tháng,Sau sinh 6 - 12 tháng,3
12-24-thang,12 - 24 tháng,Sau sinh 12 - 24 tháng,3
3-tuoi,3 tuổi,Sau sinh 24 - 36 tháng,3
4-tuoi,4 tuổi,Sau sinh 36 - 48 tháng,3
5-tuoi,5 tuổi,Sau sinh 48 - 60 tháng,3
